"country","date","daily_vaccinations","daily_vaccinations_per_million"
"Albania","2021-01-11",64,22
"Albania","2021-01-12",64,22
"Albania","2021-01-13",63,22
"Albania","2021-01-14",66,23
"Albania","2021-01-15",62,22
"Albania","2021-01-16",62,22
"Albania","2021-01-17",58,20
"Albania","2021-01-18",55,19
"Albania","2021-01-19",51,18
"Albania","2021-01-20",47,16
"Albania","2021-01-21",40,14
"Albania","2021-01-22",34,12
"Albania","2021-01-23",26,9
"Albania","2021-01-24",21,7
"Albania","2021-01-25",15,5
"Albania","2021-01-26",9,3
"Albania","2021-01-27",4,1
"Albania","2021-02-03",12,4
"Albania","2021-02-04",24,8
"Albania","2021-02-05",35,12
"Albania","2021-02-06",47,16
"Albania","2021-02-07",59,21
"Albania","2021-02-08",71,25
"Albania","2021-02-09",82,28
"Algeria","2021-01-30",30,1
"Andorra","2021-01-26",66,854
"Andorra","2021-01-27",66,854
"Andorra","2021-01-28",66,854
"Andorra","2021-01-29",66,854
"Andorra","2021-01-30",66,854
"Andorra","2021-01-31",66,854
"Andorra","2021-02-01",66,854
"Andorra","2021-02-02",60,777
"Andorra","2021-02-03",55,712
"Andorra","2021-02-04",50,647
"Andorra","2021-02-05",44,569
"Andorra","2021-02-06",39,505
"Andorra","2021-02-07",34,440
"Andorra","2021-02-08",28,362
"Andorra","2021-02-09",28,362
"Andorra","2021-02-10",28,362
"Anguilla","2021-02-05",149,9932
"Anguilla","2021-02-06",149,9932
"Anguilla","2021-02-07",149,9932
"Anguilla","2021-02-08",149,9932
"Anguilla","2021-02-09",149,9932
"Anguilla","2021-02-10",149,9932
"Anguilla","2021-02-11",149,9932
"Anguilla","2021-02-12",149,9932
"Anguilla","2021-02-13",149,9932
"Argentina","2020-12-30",15656,346
"Argentina","2020-12-31",15656,346
"Argentina","2021-01-01",11070,245
"Argentina","2021-01-02",8776,194
"Argentina","2021-01-03",7400,164
"Argentina","2021-01-04",6483,143
"Argentina","2021-01-05",7984,177
"Argentina","2021-01-06",8173,181
"Argentina","2021-01-07",8363,185
"Argentina","2021-01-08",10519,233
"Argentina","2021-01-09",11942,264
"Argentina","2021-01-10",13365,296
"Argentina","2021-01-11",14788,327
"Argentina","2021-01-12",14056,311
"Argentina","2021-01-13",13323,295
"Argentina","2021-01-14",13320,295
"Argentina","2021-01-15",13317,295
"Argentina","2021-01-16",12971,287
"Argentina","2021-01-17",12624,279
"Argentina","2021-01-18",12278,272
"Argentina","2021-01-19",11932,264
"Argentina","2021-01-20",11586,256
"Argentina","2021-01-21",11704,259
"Argentina","2021-01-22",11263,249
"Argentina","2021-01-23",11124,246
"Argentina","2021-01-24",10342,229
"Argentina","2021-01-25",9046,200
"Argentina","2021-01-26",9626,213
"Argentina","2021-01-27",10014,222
"Argentina","2021-01-28",8896,197
"Argentina","2021-01-29",9205,204
"Argentina","2021-01-30",11189,248
"Argentina","2021-01-31",11299,250
"Argentina","2021-02-01",11924,264
"Argentina","2021-02-02",11475,254
"Argentina","2021-02-03",11218,248
"Argentina","2021-02-04",16574,367
"Argentina","2021-02-05",16238,359
"Argentina","2021-02-06",15000,332
"Argentina","2021-02-07",18576,411
"Argentina","2021-02-08",19390,429
"Argentina","2021-02-09",18139,401
"Argentina","2021-02-10",19820,439
"Argentina","2021-02-11",18416,407
"Argentina","2021-02-12",19133,423
"Argentina","2021-02-13",19266,426
"Austria","2021-01-14",6457,717
"Austria","2021-01-15",9243,1026
"Austria","2021-01-16",9134,1014
"Austria","2021-01-17",8678,964
"Austria","2021-01-18",9673,1074
"Austria","2021-01-19",10876,1208
"Austria","2021-01-20",15156,1683
"Austria","2021-01-21",15108,1677
"Austria","2021-01-22",13746,1526
"Austria","2021-01-23",13233,1469
"Austria","2021-01-24",12773,1418
"Austria","2021-01-25",12601,1399
"Austria","2021-01-26",12888,1431
"Austria","2021-01-27",9199,1021
"Austria","2021-01-28",6464,718
"Austria","2021-01-29",6455,717
"Austria","2021-01-30",7421,824
"Austria","2021-01-31",7625,847
"Austria","2021-02-01",7232,803
"Austria","2021-02-02",7665,851
"Austria","2021-02-03",8708,967
"Austria","2021-02-04",9141,1015
"Austria","2021-02-05",9793,1087
"Austria","2021-02-06",9133,1014
"Austria","2021-02-07",9309,1034
"Austria","2021-02-08",10056,1117
